 1,       1,  0.00,  0.74
 1,      10, 30.00,  2.79
 1,     100, 25.00,  6.01
 1,    1000, 27.30,  6.34
 1,   10000, 26.77,  6.38
 1,  100000, 26.85,  6.23
 1,  500000, 26.91, 11.84
 1, 1000000, 26.87, 11.81
 2,       1,  0.00,  0.54
 2,      10, 30.00,  3.05
 2,     100, 37.00,  6.75
 2,    1000, 28.20, 12.22
 2,   10000, 27.32, 12.62
 2,  100000, 26.76, 12.37
 2,  500000, 26.84, 12.34
 2, 1000000, 26.84, 14.31
 4,       1,  0.00,  0.32
 4,      10, 40.00,  2.22
 4,     100, 28.00, 11.93
 4,    1000, 25.90, 22.94
 4,   10000, 27.43, 25.20
 4,  100000, 26.78, 24.78
 4,  500000, 26.88, 23.70
 4, 1000000, 26.85, 24.33
 8,       1,100.00,  0.27
 8,      10, 30.00,  2.32
 8,     100, 22.00, 11.97
 8,    1000, 29.10, 38.43
 8,   10000, 27.35, 49.28
 8,  100000, 26.93, 49.10
 8,  500000, 26.87, 49.32
 8, 1000000, 26.91, 47.31
12,       1,100.00,  0.20
12,      10, 30.00,  1.69
12,     100, 22.00,  9.35
12,    1000, 25.50, 40.39
12,   10000, 26.48, 50.60
12,  100000, 26.73, 53.30
12,  500000, 26.83, 51.39
12, 1000000, 26.81, 53.92
16,       1,  0.00,  0.15
16,      10, 30.00,  1.62
16,     100, 33.00, 10.39
16,    1000, 27.40, 44.08
16,   10000, 26.91, 65.86
16,  100000, 27.07, 67.53
16,  500000, 26.97, 67.77
16, 1000000, 26.95, 67.58
20,       1,  0.00,  0.15
20,      10, 30.00,  1.38
20,     100, 23.00,  9.14
20,    1000, 25.60, 43.53
20,   10000, 26.32, 79.53
20,  100000, 26.66, 84.08
20,  500000, 26.85, 84.16
20, 1000000, 26.89, 84.14
24,       1,  0.00,  0.00
24,      10, 20.00,  1.15
24,     100, 29.00,  0.03
24,    1000, 25.10, 47.15
24,   10000, 26.80, 12.71
24,  100000, 26.71, 92.81
24,  500000, 26.75, 77.61
24, 1000000, 26.93, 91.98
32,       1,100.00,  0.01
32,      10, 30.00,  0.12
32,     100, 29.00,  1.51
32,    1000, 28.00, 16.64
32,   10000, 27.11, 39.89
32,  100000, 27.09, 45.64
32,  500000, 26.94, 72.10
32, 1000000, 26.87, 75.00
